id,title,employer,location,published,description,webpage_url
31353393,AI-utvecklare,Humanit Stockholm AB,Stockholm,2026-08-14T11:44:28,"I rollen kommer du arbeta med att utveckla och implementera AI-baserade tjänster och lösningar. Du är med och driver hela kedjan från design och utveckling till integration, driftsättning och förvaltning.

Du kommer att vara en del av ett team som arbetar med att utveckla moderna AI-baserade lösning",https://arbetsformedlingen.se/platsbanken/annonser/31353393
31455902,"Senior AI-utvecklare, konsultuppdrag Göteborg",Intensogruppen AB,Göteborg,2026-09-09T11:32:10,"Senior AI-utvecklare, konsultuppdrag Göteborg  
Hos oss erbjuder vi dig som konsult möjligheten att arbeta i intressanta uppdrag där din tekniska kompetens gör verklig skillnad. Vi samarbetar professionellt, tydligt och pålitligt med glädje, energi och transparens bygger vi långsiktiga relationer ti",https://arbetsformedlingen.se/platsbanken/annonser/31455902
31360409,AI-utvecklare  projektanställning för lokal FAQ-/RAG-lösning,Vizzit International AB,Stockholm,2026-08-17T13:53:40,"Om jobbet
Vi söker en erfaren utvecklare för en kortare projektanställning med uppdraget att implementera en lokal AI-baserad FAQ- och hjälpfunktion för våra analysverktyg.
Vi utvecklar och levererar egna system för webbanalys och webbplatsunderhåll. Våra lösningar används av organisationer som vill",https://arbetsformedlingen.se/platsbanken/annonser/31360409
31435730,AI/ML-utvecklare,Softhouse Nordic AB,Stockholm,2026-09-03T16:11:01,"Är du en erfaren AI/ML-utvecklare som vill utveckla och produktionssätta lösningar som gör skillnad på riktigt? Då kan du vara en bra match för oss på Softhouse!
Vad vi kommer att göra tillsammans 🧑‍💻
Som AI/ML-utvecklare på Softhouse hjälper du våra kunder att planera, bygga och realisera sina AI/M",https://arbetsformedlingen.se/platsbanken/annonser/31435730
31498889,AI-utvecklare/AI-ingenjör med praktisk erfarenhet,NXT Interim Stockholm AB,Solna,2026-09-21T09:18:12,"Är du en AI-utvecklare/AI-ingenjör med praktisk erfarenhet av att designa, bygga och driftsätta AI-system? Då har du hittat rätt. 
Kund söker en AI-utvecklare med stark analytisk och problemlösande förmåga, som motiveras av att arbeta i komplexa miljöer. Den ideala kandidaten kommer att bidra med hö",https://arbetsformedlingen.se/platsbanken/annonser/31498889
31392158,Senior utvecklare med AI-fokus,Knowit Aktiebolag (publ),Linköping,2026-08-25T09:11:41,"Du är en senior utvecklare som använder kodagenter med gott omdöme. Här bygger du hållbara lösningar och utvecklar hur AI används i det dagliga utvecklingsarbetet.
I rollen arbetar du praktiskt med systemutveckling och tar ansvar genom hela leveransen: från att förstå behov och formulera tekniska lö",https://arbetsformedlingen.se/platsbanken/annonser/31392158
31428566,"Utvecklare sökes  4BrightRX, AI-driven rekryteringsplattform","Wittman, Arnold",,2026-09-02T12:09:35,"Om oss
4Bright utvecklar 4BrightRX – en AI-driven rekryteringsplattform byggd specifikt för den svenska arbetsmarknaden, i samarbete med NAISS och Linköpings universitet. Till skillnad från många internationella konkurrenter är 4BrightRX genuint lokaliserad för svenska förhållanden – inte bara övers",https://arbetsformedlingen.se/platsbanken/annonser/31428566
31373360,AI/ML Utvecklare till Softhouse i Luleå,Softhouse Nordic AB,Luleå,2026-08-19T16:03:31,"Vill du kombinera din expertis inom AI/ML med ett starkt affärsfokus? Hos oss på Softhouse kliver du in i ett kompetent team där vi hjälper kunder att gå från vision till verklig nytta.
Din roll hos oss
Du är en viktig spelare för att serva våra kunder i deras AI-mognad från strategi till lösningar.",https://arbetsformedlingen.se/platsbanken/annonser/31373360
31502871,Python-utvecklare,Syntronic Aktiebolag,Stockholm,2026-09-21T16:28:53,"Vill du vara med och utveckla robusta, skalbara och underhållbara mjukvarulösningar i tekniskt avancerade miljöer? 
Vi söker en Python-utvecklare som vill arbeta med allt från backendlogik och integrationer till moderna tjänster och arkitekturer. Hos oss blir du en nyckelperson i hela utvecklingsked",https://arbetsformedlingen.se/platsbanken/annonser/31502871
31500284,Vikariat Utvecklare,Herrljunga kommun,Herrljunga,2026-09-21T11:40:08,"Välkommen till Herrljunga! Med ett strategiskt läge i Västra Götaland och närhet till större städer kan du enkelt pendla och ta del av storstadens utbud, samtidigt som du behåller småstadens charm och gemenskap. Med naturen nära till hands finns det dessutom gott om möjligheter till friluftsliv och ",https://arbetsformedlingen.se/platsbanken/annonser/31500284
31494822,Fullstack-utvecklare,Futuria People AB,Göteborg,2026-09-18T13:35:31,"Vi söker nu en Fullstack-utvecklare till ett ledande svenskt teknikbolag med global närvaro. Här får du möjlighet att arbeta med avancerade och samhällskritiska system i tekniskt utmanande miljöer, där mjukvara, systemutveckling och innovation står i fokus.
Om företaget:
Som en del av teamet blir du",https://arbetsformedlingen.se/platsbanken/annonser/31494822
31479795,IFS-utvecklare,Avaron AB,Linköping,2026-09-15T14:16:55,"Om företaget
Hos Avaron får du tryggheten i en fast anställning kombinerat med variationen av att arbeta ute hos olika kunder. Vi tillsätter specialister inom allt från teknik, IT och industri till projektledning och affärsstöd – och oavsett uppdrag har du en konsultchef som finns där för dig och di",https://arbetsformedlingen.se/platsbanken/annonser/31479795
31478080,Mjukvaruarkitekt/Utvecklare,Procruitment AB,Jönköping,2026-09-15T10:45:14,"Om kunden
Vår kund är ett globalt ledande produktbolag verksamma inom många tekniska områden för människors trygghet i samhället. Här får du vara en del av ett företag där kontinuerligt lärande och välmående värderas högt i det dagliga arbetet. Vi erbjuder dig en rejält utvecklande utmaning där du f",https://arbetsformedlingen.se/platsbanken/annonser/31478080
31477899,FPGA-utvecklare,SAAB Aktiebolag,Jönköping,2026-09-15T10:28:14,"Drivs du av att se dina idéer bli verklighet? Välkommen till vår spännande och teknikintensiva värld.


Din roll

Som FPGA-utvecklare blir du en del av ett engagerat team med både erfarna och mer juniora kollegor, där ni tillsammans driver utvecklingen framåt. Arbetet innebär utveckling av elektroni",https://arbetsformedlingen.se/platsbanken/annonser/31477899
31474555,GIS-utvecklare,Skellefteå kommun,Skellefteå,2026-09-14T14:40:08,"1 plats(er). 


Vill du utveckla GIS-lösningar som gör geografisk information mer användbar för kommunens verksamheter och medborgarnas vardag? Hos oss får du kombinera GIS, teknik och utveckling med möjligheten att bidra till Skellefteås fortsatta samhällsutveckling.
DIN ROLL
I din roll som GIS-u",https://arbetsformedlingen.se/platsbanken/annonser/31474555
31473349,Frontend-utvecklare,Knightec Group Software and Cloud AB,Göteborg,2026-09-14T12:33:31,"Därför är detta jobb för dig
Knightec Group är med och utvecklar nästa generations digitala produkter och tjänster. Tillsammans med våra kunder hjälper vi till att utforma och implementera moderna arkitekturer, digitala plattformar och datadrivna tjänster.
Du blir en del av affärsområdet Software & ",https://arbetsformedlingen.se/platsbanken/annonser/31473349
